date cpi
192606 17.70
192607 17.50
192608 17.40
192609 17.50
192610 17.60
192611 17.70
192612 17.70
192701 17.50
192702 17.40
192703 17.30
192704 17.30
192705 17.40
192706 17.60
192707 17.30
192708 17.20
192709 17.30
192710 17.40
192711 17.30
192712 17.30
192801 17.30
192802 17.10
192803 17.10
192804 17.10
192805 17.20
192806 17.10
192807 17.10
192808 17.10
192809 17.30
192810 17.20
192811 17.20
192812 17.10
192901 17.10
192902 17.10
192903 17.00
192904 16.90
192905 17.00
192906 17.10
192907 17.30
192908 17.30
192909 17.30
192910 17.30
192911 17.30
192912 17.20
193001 17.10
193002 17.00
193003 16.90
193004 17.00
193005 16.90
193006 16.80
193007 16.60
193008 16.50
193009 16.60
193010 16.50
193011 16.40
193012 16.10
193101 15.90
193102 15.70
193103 15.60
193104 15.50
193105 15.30
193106 15.10
193107 15.10
193108 15.10
193109 15.00
193110 14.90
193111 14.70
193112 14.60
193201 14.30
193202 14.10
193203 14.00
193204 13.90
193205 13.70
193206 13.60
193207 13.60
193208 13.50
193209 13.40
193210 13.30
193211 13.20
193212 13.10
193301 12.90
193302 12.70
193303 12.60
193304 12.60
193305 12.60
193306 12.70
193307 13.10
193308 13.20
193309 13.20
193310 13.20
193311 13.20
193312 13.20
193401 13.20
193402 13.30
193403 13.30
193404 13.30
193405 13.30
193406 13.40
193407 13.40
193408 13.40
193409 13.60
193410 13.50
193411 13.50
193412 13.40
193501 13.60
193502 13.70
193503 13.70
193504 13.80
193505 13.80
193506 13.70
193507 13.70
193508 13.70
193509 13.70
193510 13.70
193511 13.80
193512 13.80
193601 13.80
193602 13.80
193603 13.70
193604 13.70
193605 13.70
193606 13.80
193607 13.90
193608 14.00
193609 14.00
193610 14.00
193611 14.00
193612 14.00
193701 14.10
193702 14.10
193703 14.20
193704 14.30
193705 14.40
193706 14.40
193707 14.50
193708 14.50
193709 14.60
193710 14.60
193711 14.50
193712 14.40
193801 14.20
193802 14.10
193803 14.10
193804 14.20
193805 14.10
193806 14.10
193807 14.10
193808 14.10
193809 14.10
193810 14.00
193811 14.00
193812 14.00
193901 14.00
193902 13.90
193903 13.90
193904 13.80
193905 13.80
193906 13.80
193907 13.80
193908 13.80
193909 14.10
193910 14.00
193911 14.00
193912 14.00
194001 13.90
194002 14.00
194003 14.00
194004 14.00
194005 14.00
194006 14.10
194007 14.00
194008 14.00
194009 14.00
194010 14.00
194011 14.00
194012 14.10
194101 14.10
194102 14.10
194103 14.20
194104 14.30
194105 14.40
194106 14.70
194107 14.70
194108 14.90
194109 15.10
194110 15.30
194111 15.40
194112 15.50
194201 15.70
194202 15.80
194203 16.00
194204 16.10
194205 16.30
194206 16.30
194207 16.40
194208 16.50
194209 16.50
194210 16.70
194211 16.80
194212 16.90
194301 16.90
194302 16.90
194303 17.20
194304 17.40
194305 17.50
194306 17.50
194307 17.40
194308 17.30
194309 17.40
194310 17.40
194311 17.40
194312 17.40
194401 17.40
194402 17.40
194403 17.40
194404 17.50
194405 17.50
194406 17.60
194407 17.70
194408 17.70
194409 17.70
194410 17.70
194411 17.70
194412 17.80
194501 17.80
194502 17.80
194503 17.80
194504 17.80
194505 17.90
194506 18.10
194507 18.10
194508 18.10
194509 18.10
194510 18.10
194511 18.10
194512 18.20
194601 18.20
194602 18.10
194603 18.30
194604 18.40
194605 18.50
194606 18.70
194607 19.80
194608 20.20
194609 20.40
194610 20.80
194611 21.30
194612 21.50
194701 21.50
194702 21.50
194703 21.90
194704 21.90
194705 21.90
194706 22.00
194707 22.20
194708 22.50
194709 23.00
194710 23.00
194711 23.10
194712 23.40
194801 23.70
194802 23.50
194803 23.40
194804 23.80
194805 23.90
194806 24.10
194807 24.40
194808 24.50
194809 24.50
194810 24.40
194811 24.20
194812 24.10
194901 24.00
194902 23.80
194903 23.80
194904 23.90
194905 23.80
194906 23.90
194907 23.70
194908 23.80
194909 23.90
194910 23.70
194911 23.80
194912 23.60
195001 23.50
195002 23.50
195003 23.60
195004 23.60
195005 23.70
195006 23.80
195007 24.10
195008 24.30
195009 24.40
195010 24.60
195011 24.70
195012 25.00
195101 25.40
195102 25.70
195103 25.80
195104 25.80
195105 25.90
195106 25.90
195107 25.90
195108 25.90
195109 26.10
195110 26.20
195111 26.40
195112 26.50
195201 26.50
195202 26.30
195203 26.30
195204 26.40
195205 26.40
195206 26.50
195207 26.70
195208 26.70
195209 26.70
195210 26.70
195211 26.70
195212 26.70
195301 26.60
195302 26.50
195303 26.60
195304 26.60
195305 26.70
195306 26.80
195307 26.80
195308 26.90
195309 26.90
195310 27.00
195311 26.90
195312 26.90
195401 26.90
195402 26.90
195403 26.90
195404 26.80
195405 26.90
195406 26.90
195407 26.90
195408 26.90
195409 26.80
195410 26.80
195411 26.80
195412 26.70
195501 26.70
195502 26.70
195503 26.70
195504 26.70
195505 26.70
195506 26.70
195507 26.80
195508 26.80
195509 26.90
195510 26.90
195511 26.90
195512 26.80
195601 26.80
195602 26.80
195603 26.80
195604 26.90
195605 27.00
195606 27.20
195607 27.40
195608 27.30
195609 27.40
195610 27.50
195611 27.50
195612 27.60
195701 27.60
195702 27.70
195703 27.80
195704 27.90
195705 28.00
195706 28.10
195707 28.30
195708 28.30
195709 28.30
195710 28.30
195711 28.40
195712 28.40
195801 28.60
195802 28.60
195803 28.80
195804 28.90
195805 28.90
195806 28.90
195807 29.00
195808 28.90
195809 28.90
195810 28.90
195811 29.00
195812 28.90
195901 29.00
195902 28.90
