DATE SP500
196201 0.0024695
196202 0.0187390
196203 -0.0034306
196204 -0.0595255
196205 -0.0833844
196206 -0.0789869
196207 0.0666666
196208 0.0182037
196209 -0.0453316
196210 0.0081749
196211 0.1052726
196212 0.0168647
196301 0.0518226
196302 -0.0262840
196303 0.0381086
196304 0.0512242
196305 0.0169054
196306 -0.0176553
196307 -0.0010092
196308 0.0512080
196309 -0.0086897
196310 0.0354254
196311 -0.0074314
196312 0.0275842
196401 0.0294589
196402 0.0123312
196403 0.0176094
196404 0.0084832
196405 0.0140969
196406 0.0189124
196407 0.0205656
196408 -0.0199568
196409 0.0373787
196410 0.0110477
196411 -0.0022388
196412 0.0068704
196501 0.0356342
196502 0.0009136
196503 -0.0121240
196504 0.0367920
196505 -0.0052742
196506 -0.0461434
196507 0.0159297
196508 0.0249853
196509 0.0344154
196510 0.0303469
196511 -0.0058430
196512 0.0118983
196601 0.0073569
196602 -0.0153963
196603 -0.0192939
196604 0.0231985
196605 -0.0515046
196606 -0.0133519
196607 -0.0107387
196608 -0.0750000
196609 -0.0040207
196610 0.0509404
196611 0.0063591
196612 0.0017401
196701 0.0811652
196702 0.0041567
196703 0.0427764
196704 0.0449002
196705 -0.0498884
196706 0.0202067
196707 0.0479921
196708 -0.0091821
196709 0.0353481
196710 -0.0263675
196711 0.0038339
196712 0.0290424
196801 -0.0412563
196802 -0.0285126
196803 0.0121980
196804 0.0847007
196805 0.0137309
196806 0.0116538
196807 -0.0159670
196808 0.0140167
196809 0.0410683
196810 0.0099346
196811 0.0506722
196812 -0.0390330
196901 -0.0056806
196902 -0.0448501
196903 0.0370937
196904 0.0240370
196905 0.0002894
196906 -0.0530640
196907 -0.0575172
196908 0.0429055
196909 -0.0223013
196910 0.0472508
196911 -0.0323940
196912 -0.0156700
197001 -0.0736477
197002 0.0557517
197003 0.0043574
197004 -0.0875823
197005 -0.0577773
197006 -0.0466362
197007 0.0768702
197008 0.0477899
197009 0.0361875
197010 -0.0083125
197011 0.0505705
197012 0.0597477
197101 0.0431904
197102 0.0116814
197103 0.0393798
197104 0.0388795
197105 -0.0390573
197106 0.0033123
197107 -0.0387163
197108 0.0388158
197109 -0.0043421
197110 -0.0391499
197111 0.0002122
197112 0.0889457
197201 0.0205700
197202 0.0277083
197203 0.0082575
197204 0.0068097
197205 0.0196898
197206 -0.0194467
197207 0.0047601
197208 0.0368749
197209 -0.0025206
197210 0.0118498
197211 0.0481270
197212 0.0142281
197301 -0.0149088
197302 -0.0352496
197303 0.0008954
197304 -0.0382891
197305 -0.0162661
197306 -0.0039066
197307 0.0406675
197308 -0.0340971
197309 0.0427817
197310 0.0016601
197311 -0.1109059
197312 0.0199041
197401 -0.0071758
197402 -0.0007249
197403 -0.0203699
197404 -0.0358587
197405 -0.0302292
197406 -0.0112282
197407 -0.0741861
197408 -0.0863700
197409 -0.1150381
197410 0.1680831
197411 -0.0488499
197412 -0.0155779
197501 0.1271878
197502 0.0637828
197503 0.0253706
197504 0.0509837
197505 0.0476519
197506 0.0477235
197507 -0.0643974
197508 -0.0175776
197509 -0.0310773
197510 0.0653392
197511 0.0281895
197512 -0.0081105
197601 0.1216321
197602 -0.0084275
197603 0.0336977
197604 -0.0077843
197605 -0.0111177
197606 0.0442205
197607 -0.0047949
197608 -0.0018368
197609 0.0259450
197610 -0.0186241
197611 -0.0040817
197612 0.0562194
197701 -0.0472733
197702 -0.0182300
197703 -0.0105189
197704 0.0041657
197705 -0.0196058
197706 0.0494174
197707 -0.0124403
197708 -0.0171978
197709 0.0014468
197710 -0.0389516
197711 0.0316222
197712 0.0073817
197801 -0.0574132
197802 -0.0203922
197803 0.0294117
197804 0.0902365
197805 0.0086750
197806 -0.0131632
197807 0.0583062
197808 0.0300954
197809 -0.0031949
197810 -0.0871855
197811 0.0214708
197812 0.0196408
197901 0.0443243
197902 -0.0321224
197903 0.0597216
197904 0.0062998
197905 -0.0217178
197906 0.0433993
197907 0.0134099
197908 0.0577015
197909 0.0043908
197910 -0.0640322
197911 0.0475348
197912 0.0214770
198001 0.0621642
198002 -0.0000876
198003 -0.0974837
198004 0.0462337
198005 0.0514630
198006 0.0316433
198007 0.0695904
198008 0.0101092
198009 0.0294166
198010 0.0202455
198011 0.1065349
198012 -0.0301024
198101 -0.0418386
198102 0.0173678
198103 0.0400702
198104 -0.0193383
198105 0.0025600
198106 -0.0061845
198107 0.0020578
198108 -0.0578216
198109 -0.0492711
198110 0.0539680
198111 0.0411846
198112 -0.0256431
198201 -0.0129742
198202 -0.0558971
198203 -0.0052161
198204 0.0452840
198205 -0.0340948
198206 -0.0150161
198207 -0.0176990
198208 0.1213932
198209 0.0124676
198210 0.1150971
198211 0.0403859
198212 0.0192725
198301 0.0371871
198302 0.0229182
198303 0.0369444
198304 0.0788442
198305 -0.0086972
198306 0.0389186
198307 -0.0294449
198308 0.0150098
198309 0.0138078
198310 -0.0115614
198311 0.0210945
198312 -0.0052284
198401 -0.0055782
198402 -0.0351875
198403 0.0173182
198404 0.0094861
198405 -0.0553577
198406 0.0217204
198407 -0.0124037
198408 0.1104474
198409 0.0002400
198410 0.0038532
198411 -0.0111987
198412 0.0263480
198501 0.0779120
198502 0.0121917
198503 0.0006623
198504 -0.0008857
198505 0.0577769
198506 0.0156686
198507 -0.0014594
198508 -0.0085900
198509 -0.0312782
198510 0.0461885
198511 0.0685913
198512 0.0483751
198601 0.0055850
198602 0.0747002
198603 0.0557906
198604 -0.0112600
198605 0.0531590
198606 0.0168992
198607 -0.0558922
198608 0.0741572
198609 -0.0826711
198610 0.0577123
198611 0.0243052
198612 -0.0255196
198701 0.1346568
198702 0.0394780
198703 0.0288529
198704 -0.0088793
198705 0.0086350
198706 0.0505004
198707 0.0506576
198708 0.0372814
198709 -0.0219224
198710 -0.2153311
198711 -0.0824099
198712 0.0760746
198801 0.0434670
198802 0.0447349
198803 -0.0305427
198804 0.0127085
198805 0.0064283
198806 0.0464987
198807 -0.0024132
198808 -0.0355856
198809 0.0428645
198810 0.0290172
198811 -0.0159158
198812 0.0177202
198901 0.0741034
198902 -0.0261543
198903 0.0236793
198904 0.0533117
198905 0.0382053
198906 -0.0049601
198907 0.0913260
198908 0.0182331
198909 -0.0038698
198910 -0.0224547
198911 0.0193329
198912 0.0241623
199001 -0.0662141
199002 0.0113348
199003 0.0270274
199004 -0.0237401
199005 0.0952243
199006 -0.0059248
199007 -0.0024297
199008 -0.0915061
199009 -0.0480847
199010 -0.0032995
199011 0.0633552
199012 0.0280554
199101 0.0443340
199102 0.0699849
199103 0.0247368
199104 0.0032245
199105 0.0414546
199106 -0.0451221
199107 0.0476611
199108 0.0223308
199109 -0.0165138
199110 0.0144642
199111 -0.0413545
199112 0.1142793
199201 -0.0175743
199202 0.0119381
199203 -0.0194815
199204 0.0305680
199205 0.0035665
199206 -0.0147585
199207 0.0419956
199208 -0.0214756
199209 0.0116900
199210 0.0045240
199211 0.0326739
199212 0.0124495
199301 0.0093407
199302 0.0127629
199303 0.0209528
199304 -0.0230035
199305 0.0251937
199306 0.0031761
199307 -0.0029519
199308 0.0368195
199309 -0.0076794
199310 0.0216371
199311 -0.0107091
199312 0.0123220
199401 0.0347517
199402 -0.0278648
199403 -0.0434990
199404 0.0140883
199405 0.0149256
199406 -0.0242940
199407 0.0339658
199408 0.0399996
199409 -0.0246063
199410 0.0232767
199411 -0.0371545
199412 0.0147454
199501 0.0265642
199502 0.0383061
199503 0.0294837
199504 0.0303569
199505 0.0386430
199506 0.0235285
199507 0.0339235
199508 0.0017615
199509 0.0421799
199510 -0.0029601
199511 0.0430780
199512 0.0193932
199601 0.0344842
199602 0.0087421
199603 0.0097123
199604 0.0153833
199605 0.0247794
199606 0.0041398
199607 -0.0438095
199608 0.0211267
199609 0.0561662
199610 0.0275712
199611 0.0755172
199612 -0.0198143
199701 0.0624375
199702 0.0078482
199703 -0.0410080
